filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
310.jpg,332.49,1,"black, black, black","black: 29.5%, black: 28.1%, black: 21.4%"
311.jpg,10.21,25,"white, gray, gray","white: 62.1%, gray: 16.8%, gray: 9.6%"
312.jpg,22.4,67,"black, navy, gray","black: 26.6%, navy: 24.2%, gray: 20.4%"
313.jpg,636.28,1,"gray, black, navy","gray: 28.1%, black: 20.3%, navy: 20.0%"
314.jpg,68.84,3,"white, black, gray","white: 74.2%, black: 14.2%, gray: 4.9%"
315.jpg,179.43,1,"white, black, black","white: 60.3%, black: 21.6%, black: 12.3%"
316.jpg,351.29,1,"black, black, gray","black: 46.2%, black: 24.7%, gray: 12.7%"
317.jpg,611.48,1,"black, black, black","black: 39.7%, black: 27.1%, black: 21.9%"
318.jpg,17.29,15,"gray, white, black","gray: 26.3%, white: 25.1%, black: 17.0%"
319.jpg,54.94,4,"white, gray, black","white: 62.4%, gray: 16.6%, black: 9.1%"
32.jpg,188.64,1,"white, gray, black","white: 56.2%, gray: 18.9%, black: 14.4%"
320.jpg,16.98,29,"white, black, gray","white: 73.9%, black: 10.8%, gray: 7.1%"
321.jpg,177.61,1,"white, navy, gray","white: 73.2%, navy: 12.8%, gray: 9.8%"
322.jpg,17.37,18,"white, black, white","white: 81.8%, black: 6.1%, white: 5.1%"
323.jpg,349.86,1,"black, black, black","black: 27.5%, black: 26.8%, black: 23.9%"
324.jpg,11.56,19,"white, gray, gray","white: 92.8%, gray: 2.3%, gray: 1.8%"
325.jpg,13.98,18,"white, black, gray","white: 79.6%, black: 8.9%, gray: 4.6%"
326.jpg,84.3,2,"white, black, black","white: 73.0%, black: 11.3%, black: 10.2%"
327.jpg,385.91,1,"black, black, black","black: 84.4%, black: 6.8%, black: 4.8%"
328.jpg,189.17,1,"white, brown, black","white: 70.8%, brown: 13.1%, black: 11.4%"
329.jpg,34.37,9,"white, brown, black","white: 77.7%, brown: 10.1%, black: 8.6%"
33.jpg,188.64,1,"white, gray, black","white: 56.2%, gray: 18.9%, black: 14.4%"
330.jpg,8.4,50,"white, white, black","white: 76.6%, white: 7.3%, black: 7.2%"
331.jpg,8.61,40,"white, black, white","white: 81.3%, black: 5.8%, white: 5.8%"
332.jpg,8.61,40,"white, black, white","white: 81.3%, black: 5.8%, white: 5.8%"
333.jpg,23.0,20,"white, black, brown","white: 74.4%, black: 10.5%, brown: 9.2%"
334.jpg,30.03,10,"white, black, white","white: 83.1%, black: 13.6%, white: 1.6%"
335.jpg,67.61,3,"white, black, black","white: 69.2%, black: 15.2%, black: 9.5%"
336.jpg,67.61,3,"white, black, black","white: 69.2%, black: 15.2%, black: 9.5%"
337.jpg,16.61,14,"white, black, gray","white: 77.9%, black: 10.0%, gray: 6.1%"
338.jpg,231.72,1,"white, white, black","white: 33.1%, white: 23.7%, black: 20.4%"
339.jpg,30.63,15,"white, black, black","white: 64.3%, black: 15.7%, black: 14.9%"
34.jpg,99.72,2,"white, black, gray","white: 62.4%, black: 17.5%, gray: 11.5%"
340.jpg,18.37,15,"white, black, black","white: 77.5%, black: 9.3%, black: 6.4%"
341.jpg,256.03,1,"white, gray, black","white: 45.4%, gray: 21.6%, black: 21.4%"
342.jpg,39.39,16,"white, black, black","white: 66.6%, black: 14.1%, black: 11.9%"
343.jpg,145.04,1,"white, brown, black","white: 58.7%, brown: 20.5%, black: 11.1%"
344.jpg,133.55,1,"white, gray, black","white: 65.8%, gray: 19.0%, black: 8.3%"
345.jpg,27.77,8,"white, black, black","white: 71.3%, black: 10.2%, black: 8.7%"
346.jpg,145.12,1,"white, black, gray","white: 73.8%, black: 10.8%, gray: 8.1%"
347.jpg,207.26,1,"white, brown, gray","white: 64.1%, brown: 13.4%, gray: 10.5%"
348.jpg,207.26,1,"white, brown, gray","white: 64.1%, brown: 13.4%, gray: 10.5%"
349.jpg,104.79,2,"white, brown, gray","white: 74.4%, brown: 8.6%, gray: 7.8%"
35.jpg,351.22,1,"black, gray, black","black: 36.2%, gray: 24.0%, black: 17.7%"
350.jpg,94.67,2,"white, gray, gray","white: 72.8%, gray: 9.8%, gray: 7.4%"
351.jpg,119.8,2,"white, black, brown","white: 43.8%, black: 24.0%, brown: 16.7%"
352.jpg,187.29,1,"white, black, brown","white: 69.3%, black: 14.1%, brown: 7.8%"
353.jpg,352.58,1,"black, black, black","black: 57.9%, black: 23.7%, black: 11.9%"
354.jpg,118.59,2,"white, black, black","white: 58.6%, black: 16.6%, black: 15.8%"
355.jpg,40.56,11,"white, brown, gray","white: 64.1%, brown: 13.6%, gray: 12.0%"
356.jpg,1171.51,1,"black, black, black","black: 30.9%, black: 27.3%, black: 23.1%"
357.jpg,287.7,1,"black, black, black","black: 56.0%, black: 20.8%, black: 13.2%"
358.jpg,234.42,1,"black, black, black","black: 34.0%, black: 29.0%, black: 20.7%"
359.jpg,211.94,1,"gray, brown, gray","gray: 56.0%, brown: 14.8%, gray: 12.4%"
36.jpg,35.97,8,"white, black, black","white: 50.1%, black: 20.1%, black: 16.1%"
360.jpg,183.92,1,"white, black, brown","white: 70.9%, black: 11.6%, brown: 9.2%"
361.jpg,73.29,13,"white, black, black","white: 41.8%, black: 22.9%, black: 20.9%"
362.jpg,55.74,9,"white, black, black","white: 63.6%, black: 20.5%, black: 9.4%"
363.jpg,59.15,10,"white, gray, gray","white: 49.7%, gray: 18.9%, gray: 16.8%"
364.jpg,131.63,3,"white, brown, black","white: 56.2%, brown: 18.6%, black: 15.0%"
365.jpg,40.66,16,"white, black, black","white: 64.6%, black: 21.4%, black: 9.8%"
366.jpg,163.62,4,"black, black, gray","black: 33.9%, black: 23.3%, gray: 19.7%"
367.jpg,324.11,1,"gray, black, black","gray: 28.9%, black: 23.6%, black: 22.4%"
368.jpg,340.19,1,"black, gray, black","black: 25.5%, gray: 24.8%, black: 23.1%"
369.jpg,23.79,13,"white, black, gray","white: 80.1%, black: 11.4%, gray: 3.7%"
